bucket,vendor,cards,shipping,total
0-5,tcgplayer,9.469766666666668,3.2287750000000006,12.698541666666669
0-5,cardkingdom,11.373543933798956,4.973366666666668,16.346910600465623
0-5,manapool,8.585833333333333,3.9634000000000014,12.549233333333335
5-20,tcgplayer,41.87725,7.468908333333332,49.34615833333333
5-20,cardkingdom,48.90483606724888,4.183283333333335,53.088119400582215
5-20,manapool,38.33783333333333,2.8728000000000007,41.21063333333333
20-50,tcgplayer,111.35511666666667,17.382383333333333,128.7375
20-50,cardkingdom,130.90512357814384,0.6487,131.55382357814383
20-50,manapool,101.42398333333334,0.3990000000000001,101.82298333333334
50-75,tcgplayer,196.88924999999998,32.298566666666666,229.18781666666663
50-75,cardkingdom,230.76321671847842,0.0,230.76321671847842
50-75,manapool,180.23565000000002,0.0,180.23565000000002
75-100,tcgplayer,270.2331,45.54898333333334,315.78208333333333
75-100,cardkingdom,317.0896574661959,0.0,317.0896574661959
75-100,manapool,247.83051666666665,0.0,247.83051666666665
